Date,Open,High,Low,Close,Adj Close,Volume
2019-01-29,33.349998,34.750000,33.349998,33.900002,30.246559,57695
2019-01-30,34.250000,34.700001,33.700001,34.150002,30.469620,60908
2019-01-31,34.200001,35.599998,34.150002,35.200001,31.406456,54773
2019-02-01,35.750000,36.450001,34.700001,35.099998,31.317234,237824
2019-02-04,35.900002,36.400002,35.150002,35.500000,31.674124,162666
2019-02-05,35.549999,36.049999,34.849998,35.000000,31.228012,51047
2019-02-06,34.500000,35.799999,34.500000,35.599998,31.763346,53995
2019-02-07,35.549999,35.900002,35.150002,35.250000,31.451069,31276
2019-02-08,35.700001,35.700001,34.750000,35.049999,31.272621,36737
2019-02-11,35.000000,35.000000,34.599998,34.750000,31.004953,17314
2019-02-12,34.549999,35.000000,34.200001,34.750000,31.004953,40977
2019-02-14,33.099998,33.400002,33.000000,33.200001,30.581240,25714
2019-02-15,32.700001,33.000000,31.100000,31.549999,29.061386,35057
2019-02-18,31.500000,31.799999,30.700001,30.900000,28.462658,38493
2019-02-19,30.750000,31.450001,30.750000,31.200001,28.738995,31002
2019-02-20,31.200001,31.700001,31.200001,31.450001,28.969276,21018
2019-02-21,31.299999,32.299999,31.299999,32.000000,29.475893,7400
2019-02-22,32.349998,33.500000,32.349998,32.849998,30.258844,37069
2019-02-25,32.650002,34.000000,32.650002,33.650002,30.995745,24945
2019-02-26,33.549999,33.549999,32.750000,33.299999,30.673349,16684
2019-02-27,33.549999,34.349998,33.000000,33.299999,30.673349,31522
2019-02-28,33.500000,34.250000,33.150002,33.599998,30.949684,26025
2019-03-01,33.799999,35.200001,33.700001,34.599998,31.870810,61568
2019-03-05,34.700001,36.099998,34.400002,35.849998,33.022209,73579
2019-03-06,36.650002,36.650002,35.549999,35.750000,32.930099,50288
2019-03-07,35.599998,36.049999,35.450001,35.700001,32.884041,17101
2019-03-08,35.849998,36.000000,35.250000,35.549999,32.745876,36266
2019-03-11,35.700001,36.450001,35.700001,36.150002,33.298550,44591
2019-03-12,36.549999,36.849998,35.799999,35.900002,33.068268,76076
2019-03-13,35.900002,36.000000,35.349998,35.400002,32.607708,37599
2019-03-14,35.750000,36.000000,35.150002,35.400002,32.607708,21717
2019-03-15,35.500000,36.049999,35.049999,35.450001,32.653763,48617
2019-03-18,35.450001,36.000000,35.150002,35.250000,32.469536,19050
2019-03-19,35.400002,36.599998,35.400002,36.049999,33.206432,45839
2019-03-20,36.000000,36.099998,35.299999,35.349998,32.561649,21657
2019-03-22,35.549999,36.000000,34.799999,34.950001,32.193199,84052
2019-03-25,34.650002,34.650002,34.349998,34.450001,31.732641,17322
2019-03-26,34.700001,34.950001,34.599998,34.799999,32.055035,28620
2019-03-27,35.000000,35.200001,34.549999,34.599998,31.870810,30976
2019-03-28,35.349998,35.900002,34.599998,35.650002,32.837986,45893
2019-04-01,35.200001,36.150002,35.200001,35.549999,32.745876,44361
2019-04-02,35.450001,36.250000,35.299999,35.650002,32.837986,44279
2019-04-03,35.900002,36.450001,35.349998,35.400002,32.607708,98500
2019-04-04,35.400002,35.599998,34.849998,35.000000,32.239258,28244
2019-04-05,35.250000,35.349998,34.599998,34.700001,31.962921,27283
2019-04-08,34.549999,35.250000,34.549999,34.950001,32.193199,31411
2019-04-09,35.250000,35.250000,34.599998,34.750000,32.008976,12908
2019-04-10,34.750000,35.650002,34.750000,35.150002,32.377426,59138
2019-04-11,35.299999,36.200001,35.299999,35.700001,32.884041,71584
2019-04-12,35.500000,35.700001,35.200001,35.500000,32.699818,20178
